Heading,Subheading,Title,URL,Filepath,Content Type,Content Hash
Increasing Awareness,Increasing Awareness of PathwayConnect,Domestic Quarter Sheets-Everyone-can-access-higher-education.pdf,https://missionaries.prod.byu-pathway.psdops.com/Domestic-Quarter-Sheets-Everyone-can-access-higher-education,./data/pdf/Domestic-Quarter-Sheets-Everyone-can-access-higher-educationpdf.pdf,pdf,2940338e9ad78537c136b3f2c508f6282d44a6778574297c3ed33a0f63f5385d
Increasing Awareness,Increasing Awareness of PathwayConnect,Elders Quorom and Relief Society Presentations.pdf,https://missionaries.prod.byu-pathway.psdops.com/Elders-Quorom-and-Relief-Society-Presentations,./data/pdf/Elders-Quorom-and-Relief-Society-Presentationspdf.pdf,pdf,713bec8bdbc3bf4ebdb2693c95c8c62b170a593cfe97392e7be4e582739a3d4e
Increasing Awareness,Increasing Awareness of PathwayConnect,Email All Adult Members.pdf,https://missionaries.prod.byu-pathway.psdops.com/Email-All-Adult-Members,./data/pdf/Email-All-Adult-Memberspdf.pdf,pdf,60aef1c1df818472f806c2ec8847029d962f235371ca21615651134cbbcd7f54
Increasing Awareness,Increasing Awareness of PathwayConnect,Employment and Self-Reliance Fair.pdf,https://missionaries.prod.byu-pathway.psdops.com/Employment-and-Self-Reliance-Fair,./data/pdf/Employment-and-Self-Reliance-Fairpdf.pdf,pdf,d65a88a8d16bd5bb0afc26ffec7a429700659b1001db642e385969aeeed61dec
Increasing Awareness,Increasing Awareness of PathwayConnect,Explaining BYUPW to Potential Students.pdf,https://missionaries.prod.byu-pathway.psdops.com/Explaining-BYUPW-to-Potential-Students,./data/pdf/Explaining-BYUPW-to-Potential-Studentspdf.pdf,pdf,327aca3f59665a9dad820e02fe906993f144be23dc5e6dfb5e258d7f2eebb17b
Increasing Awareness,Increasing Awareness of PathwayConnect,Firesides and Devotionals.pdf,https://missionaries.prod.byu-pathway.psdops.com/Firesides-and-Devotionals,./data/pdf/Firesides-and-Devotionalspdf.pdf,pdf,fee8e9e7f56f28d8ad120e7cd56a1460f14cbbfcb553e865fed08e74310ba1f1
Increasing Awareness,Increasing Awareness of PathwayConnect,Informe en Fuentes de recursos para líderes y secretarios de la Iglesia.pdf,https://missionaries.prod.byu-pathway.psdops.com/Informe-en-Fuentes-de-recursos-para-líderes-y-secretarios-de-la-Iglesia,./data/pdf/Informe-en-Fuentes-de-recursos-para-lideres-y-secretarios-de-la-Iglesiapdf.pdf,pdf,09a81df8b96ae674bec63bfbf17f12a6e60e5f91c2a4e7749ff4a452a31e3017
Increasing Awareness,Increasing Awareness of PathwayConnect,Institutional Handout.pdf .pdf,https://missionaries.prod.byu-pathway.psdops.com/Institutional-Handout-,./data/pdf/Institutional-Handoutpdf-pdf.pdf,pdf,44055c1e43e98ffce45f01748f1b615e78d98e302c2402d722ec934b7309d4f3
Increasing Awareness,Increasing Awareness of PathwayConnect,institutional-brochure-bi-fold-pdf.pdf,https://missionaries.prod.byu-pathway.psdops.com/institutional-brochure-bi-fold-pdf,./data/pdf/institutional-brochure-bi-fold-pdfpdf.pdf,pdf,124dd7857206ea155e1c732995e746670d1cb3620be89c8df3e1a93dff6cd49f
Increasing Awareness,Increasing Awareness of PathwayConnect,Inviting Friends of the Church (No Nonmembers in Group).pdf,https://missionaries.prod.byu-pathway.psdops.com/Inviting-Friends-of-the-Church-No-Nonmembers-in-Group,./data/pdf/Inviting-Friends-of-the-Church-No-Nonmembers-in-Grouppdf.pdf,pdf,46b3ba9099d6ca20a9e078fe56c06efc43307d23a0361574630f91a658df0041
Increasing Awareness,Increasing Awareness of PathwayConnect,Inviting Friends of the Church (Nonmembers in Group).pdf,https://missionaries.prod.byu-pathway.psdops.com/Inviting-Friends-of-the-Church-Nonmembers-in-Group,./data/pdf/Inviting-Friends-of-the-Church-Nonmembers-in-Grouppdf.pdf,pdf,a53680bc989d063f2a10208398a3defb54c33db973c2ef30b09f75329f42a40c
Increasing Awareness,Increasing Awareness of PathwayConnect,Inviting Friends Who Are Not Members.pdf,https://missionaries.prod.byu-pathway.psdops.com/Inviting-Friends-Who-Are-Not-Members,./data/pdf/Inviting-Friends-Who-Are-Not-Memberspdf.pdf,pdf,da33ae671e83a1d97947f458d2bf6287971a1ce384e7b45f3c83ca4aff0d15bf
Increasing Awareness,Increasing Awareness of PathwayConnect,Leader and Clerk Resources Report for Church Leaders.pdf,https://missionaries.prod.byu-pathway.psdops.com/Leader-and-Clerk-Resources-Report-for-Church-Leaders,./data/pdf/Leader-and-Clerk-Resources-Report-for-Church-Leaderspdf.pdf,pdf,2f1a96dd32cab2040a4a1a01cb65131889ed9190d06fb9e723017434a813bc37
Increasing Awareness,Increasing Awareness of PathwayConnect,Ministering Through Education.pdf,https://missionaries.prod.byu-pathway.psdops.com/Ministering-Through-Education,./data/pdf/Ministering-Through-Educationpdf.pdf,pdf,a611456bc2ee8f67057dab710d6f3f7c34aba046de2dfbdafc81e663ee6c4866
Increasing Awareness,Increasing Awareness of PathwayConnect,Presenting at Ward and Stake Council.pdf,https://missionaries.prod.byu-pathway.psdops.com/Presenting-at-Ward-and-Stake-Council,./data/pdf/Presenting-at-Ward-and-Stake-Councilpdf.pdf,pdf,016a1073b844576cce1fe7c8492f878aa5a9a69311e306ee9bc0ed9b0ee92d23
Increasing Awareness,Increasing Awareness of PathwayConnect,Sacrament Meeting Talks.pdf,https://missionaries.prod.byu-pathway.psdops.com/Sacrament-Meeting-Talks,./data/pdf/Sacrament-Meeting-Talkspdf.pdf,pdf,3523999e2808e0dc5130cad131c356de1be500184aa7cac3d7bd4ea7a12e3abb
Increasing Awareness,Increasing Awareness of PathwayConnect,"Scriptures, Quotes, and Talks About Education.pdf",https://missionaries.prod.byu-pathway.psdops.com/Scriptures-Quotes-and-Talks-About-Education,./data/pdf/Scriptures-Quotes-and-Talks-About-Educationpdf.pdf,pdf,903d10b598332701ccdf4f13be3774f9bc896082e5305e5161dc3c39deed547d
Increasing Awareness,Increasing Awareness of PathwayConnect,Second Hour Presentation.pdf,https://missionaries.prod.byu-pathway.psdops.com/Second-Hour-Presentation,./data/pdf/Second-Hour-Presentationpdf.pdf,pdf,f7c982c4a5e785e92d52c6f5fb363312967efd84245e3974222bb6ad12a22665
Increasing Awareness,Increasing Awareness of PathwayConnect,Stake Bishop Council Meeting.pdf,https://missionaries.prod.byu-pathway.psdops.com/Stake-Bishop-Council-Meeting,./data/pdf/Stake-Bishop-Council-Meetingpdf.pdf,pdf,cec972a77a142f73e077652db19e3d620e6d8a79500abebb324a471117a44db1
Increasing Awareness,Increasing Awareness of PathwayConnect,Sunday Visits with Language Wards.pdf,https://missionaries.prod.byu-pathway.psdops.com/Sunday-Visits-with-Language-Wards,./data/pdf/Sunday-Visits-with-Language-Wardspdf.pdf,pdf,9857ff785476b644125d4be55fdce6c533f7cb2c3a58ac09578879020d6535b7
Increasing Awareness,Increasing Awareness of PathwayConnect,Sunday Visits with Wards and Stakes.pdf,https://missionaries.prod.byu-pathway.psdops.com/Sunday-Visits-with-Wards-and-Stakes,./data/pdf/Sunday-Visits-with-Wards-and-Stakespdf.pdf,pdf,3a2a5b1df2f162b128090b18829049a4001bf3628c80f390dee90b7b20b3da50
Increasing Awareness,Increasing Awareness of PathwayConnect,Ward Bulletin Announcement.pdf,https://missionaries.prod.byu-pathway.psdops.com/Ward-Bulletin-Announcement,./data/pdf/Ward-Bulletin-Announcementpdf.pdf,pdf,8203af3096e3e5a25e232532e7562bed4397834b7cd7b661f431b5fe9541cb7f
